epoch: 1 CAM_loss:0.382(L_cam: 0.655, L_ce: 0.382) train_acc: 97.390% test_acc:97.090%, train_f1: 0.973 test_f1: 0.971
epoch: 2 CAM_loss:0.075(L_cam: 0.618, L_ce: 0.075) train_acc: 98.688% test_acc:98.200%, train_f1: 0.986 test_f1: 0.982
epoch: 3 CAM_loss:0.050(L_cam: 0.598, L_ce: 0.050) train_acc: 98.155% test_acc:97.620%, train_f1: 0.981 test_f1: 0.976
epoch: 4 CAM_loss:0.042(L_cam: 0.585, L_ce: 0.042) train_acc: 99.110% test_acc:98.240%, train_f1: 0.991 test_f1: 0.982
epoch: 5 CAM_loss:0.033(L_cam: 0.585, L_ce: 0.033) train_acc: 99.250% test_acc:98.330%, train_f1: 0.992 test_f1: 0.983
epoch: 6 CAM_loss:0.028(L_cam: 0.578, L_ce: 0.028) train_acc: 99.515% test_acc:98.470%, train_f1: 0.995 test_f1: 0.985
epoch: 7 CAM_loss:0.019(L_cam: 0.581, L_ce: 0.019) train_acc: 99.688% test_acc:98.510%, train_f1: 0.997 test_f1: 0.985
epoch: 8 CAM_loss:0.019(L_cam: 0.560, L_ce: 0.019) train_acc: 99.633% test_acc:98.560%, train_f1: 0.996 test_f1: 0.984
epoch: 9 CAM_loss:0.012(L_cam: 0.573, L_ce: 0.012) train_acc: 99.852% test_acc:98.770%, train_f1: 0.998 test_f1: 0.988
epoch: 10 CAM_loss:0.012(L_cam: 0.558, L_ce: 0.012) train_acc: 99.675% test_acc:98.470%, train_f1: 0.997 test_f1: 0.985
epoch: 11 CAM_loss:0.012(L_cam: 0.551, L_ce: 0.012) train_acc: 99.818% test_acc:98.620%, train_f1: 0.998 test_f1: 0.986
epoch: 12 CAM_loss:0.009(L_cam: 0.550, L_ce: 0.009) train_acc: 99.855% test_acc:98.670%, train_f1: 0.998 test_f1: 0.985
epoch: 13 CAM_loss:0.007(L_cam: 0.551, L_ce: 0.007) train_acc: 99.733% test_acc:98.530%, train_f1: 0.997 test_f1: 0.981
epoch: 14 CAM_loss:0.014(L_cam: 0.538, L_ce: 0.014) train_acc: 99.440% test_acc:98.220%, train_f1: 0.994 test_f1: 0.982
epoch: 15 CAM_loss:0.210(L_cam: 0.062, L_ce: 0.022) train_acc: 99.732% test_acc:98.460%, train_f1: 0.997 test_f1: 0.985
epoch: 16 CAM_loss:0.094(L_cam: 0.028, L_ce: 0.009) train_acc: 99.845% test_acc:98.480%, train_f1: 0.998 test_f1: 0.985
epoch: 17 CAM_loss:0.073(L_cam: 0.023, L_ce: 0.005) train_acc: 99.953% test_acc:98.720%, train_f1: 0.999 test_f1: 0.987
epoch: 18 CAM_loss:0.057(L_cam: 0.018, L_ce: 0.004) train_acc: 99.853% test_acc:98.730%, train_f1: 0.999 test_f1: 0.987
epoch: 19 CAM_loss:0.046(L_cam: 0.014, L_ce: 0.003) train_acc: 99.980% test_acc:98.730%, train_f1: 1.000 test_f1: 0.987
epoch: 20 CAM_loss:0.040(L_cam: 0.012, L_ce: 0.004) train_acc: 99.925% test_acc:98.520%, train_f1: 0.999 test_f1: 0.985
epoch: 21 CAM_loss:0.034(L_cam: 0.010, L_ce: 0.004) train_acc: 99.960% test_acc:98.670%, train_f1: 1.000 test_f1: 0.987
epoch: 22 CAM_loss:0.034(L_cam: 0.010, L_ce: 0.004) train_acc: 99.745% test_acc:98.540%, train_f1: 0.997 test_f1: 0.985
epoch: 23 CAM_loss:0.043(L_cam: 0.011, L_ce: 0.010) train_acc: 99.778% test_acc:98.580%, train_f1: 0.998 test_f1: 0.986
epoch: 24 CAM_loss:0.039(L_cam: 0.010, L_ce: 0.009) train_acc: 99.352% test_acc:97.950%, train_f1: 0.993 test_f1: 0.979
epoch: 25 CAM_loss:0.040(L_cam: 0.010, L_ce: 0.009) train_acc: 99.948% test_acc:98.750%, train_f1: 0.999 test_f1: 0.987
epoch: 26 CAM_loss:0.027(L_cam: 0.008, L_ce: 0.002) train_acc: 99.995% test_acc:98.810%, train_f1: 1.000 test_f1: 0.988
epoch: 27 CAM_loss:0.024(L_cam: 0.008, L_ce: 0.001) train_acc: 99.998% test_acc:98.750%, train_f1: 1.000 test_f1: 0.987
epoch: 28 CAM_loss:0.023(L_cam: 0.008, L_ce: 0.000) train_acc: 100.000% test_acc:98.790%, train_f1: 1.000 test_f1: 0.988
epoch: 29 CAM_loss:0.021(L_cam: 0.007, L_ce: 0.000) train_acc: 100.000% test_acc:98.780%, train_f1: 1.000 test_f1: 0.986
epoch: 30 CAM_loss:0.020(L_cam: 0.006, L_ce: 0.000) train_acc: 100.000% test_acc:98.850%, train_f1: 1.000 test_f1: 0.989
epoch: 31 CAM_loss:0.020(L_cam: 0.007, L_ce: 0.000) train_acc: 99.992% test_acc:98.640%, train_f1: 1.000 test_f1: 0.986
epoch: 32 CAM_loss:0.068(L_cam: 0.013, L_ce: 0.030) train_acc: 99.683% test_acc:98.490%, train_f1: 0.997 test_f1: 0.985
epoch: 33 CAM_loss:0.033(L_cam: 0.008, L_ce: 0.008) train_acc: 99.945% test_acc:98.830%, train_f1: 0.999 test_f1: 0.988
epoch: 34 CAM_loss:0.023(L_cam: 0.007, L_ce: 0.002) train_acc: 99.980% test_acc:98.860%, train_f1: 1.000 test_f1: 0.989
