epoch: 1, CEloss: 0.382, train_acc: 97.390% test_acc:97.090%, train_f1: 0.973 test_f1: 0.971
epoch: 2, CEloss: 0.075, train_acc: 98.688% test_acc:98.200%, train_f1: 0.986 test_f1: 0.982
epoch: 3, CEloss: 0.050, train_acc: 98.155% test_acc:97.620%, train_f1: 0.981 test_f1: 0.976
epoch: 4, CEloss: 0.042, train_acc: 99.110% test_acc:98.240%, train_f1: 0.991 test_f1: 0.982
epoch: 5, CEloss: 0.033, train_acc: 99.250% test_acc:98.330%, train_f1: 0.992 test_f1: 0.983
epoch: 6, CEloss: 0.028, train_acc: 99.515% test_acc:98.470%, train_f1: 0.995 test_f1: 0.985
epoch: 7, CEloss: 0.019, train_acc: 99.688% test_acc:98.510%, train_f1: 0.997 test_f1: 0.985
epoch: 8, CEloss: 0.019, train_acc: 99.633% test_acc:98.560%, train_f1: 0.996 test_f1: 0.984
epoch: 9, CEloss: 0.012, train_acc: 99.852% test_acc:98.770%, train_f1: 0.998 test_f1: 0.988
epoch: 10, CEloss: 0.012, train_acc: 99.675% test_acc:98.470%, train_f1: 0.997 test_f1: 0.985
epoch: 11, CEloss: 0.012, train_acc: 99.818% test_acc:98.620%, train_f1: 0.998 test_f1: 0.986
epoch: 12, CEloss: 0.009, train_acc: 99.855% test_acc:98.670%, train_f1: 0.998 test_f1: 0.985
epoch: 13, CEloss: 0.007, train_acc: 99.733% test_acc:98.530%, train_f1: 0.997 test_f1: 0.981
epoch: 14, CEloss: 0.014, train_acc: 99.440% test_acc:98.220%, train_f1: 0.994 test_f1: 0.982
epoch: 15, CEloss: 0.011, train_acc: 99.827% test_acc:98.680%, train_f1: 0.998 test_f1: 0.987
epoch: 16, CEloss: 0.004, train_acc: 99.958% test_acc:98.750%, train_f1: 1.000 test_f1: 0.988
epoch: 17, CEloss: 0.005, train_acc: 99.617% test_acc:98.420%, train_f1: 0.996 test_f1: 0.984
epoch: 18, CEloss: 0.002, train_acc: 99.998% test_acc:98.860%, train_f1: 1.000 test_f1: 0.989
epoch: 19, CEloss: 0.000, train_acc: 100.000% test_acc:98.920%, train_f1: 1.000 test_f1: 0.989
epoch: 20, CEloss: 0.000, train_acc: 100.000% test_acc:98.900%, train_f1: 1.000 test_f1: 0.989
epoch: 21, CEloss: 0.000, train_acc: 100.000% test_acc:98.900%, train_f1: 1.000 test_f1: 0.989
epoch: 22, CEloss: 0.000, train_acc: 100.000% test_acc:98.910%, train_f1: 1.000 test_f1: 0.989
epoch: 23, CEloss: 0.000, train_acc: 100.000% test_acc:98.930%, train_f1: 1.000 test_f1: 0.989
epoch: 24, CEloss: 0.000, train_acc: 100.000% test_acc:98.950%, train_f1: 1.000 test_f1: 0.989
epoch: 25, CEloss: 0.000, train_acc: 100.000% test_acc:98.970%, train_f1: 1.000 test_f1: 0.989
epoch: 26, CEloss: 0.000, train_acc: 100.000% test_acc:98.950%, train_f1: 1.000 test_f1: 0.990
epoch: 27, CEloss: 0.000, train_acc: 100.000% test_acc:98.980%, train_f1: 1.000 test_f1: 0.990
epoch: 28, CEloss: 0.000, train_acc: 100.000% test_acc:98.960%, train_f1: 1.000 test_f1: 0.990
epoch: 29, CEloss: 0.000, train_acc: 100.000% test_acc:98.960%, train_f1: 1.000 test_f1: 0.988
epoch: 30, CEloss: 0.000, train_acc: 100.000% test_acc:98.980%, train_f1: 1.000 test_f1: 0.990
